prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnfchapter,bnftext,databasebuild,intdrug
1967,3358511000001106,49735020,16705,Gyno-Daktarin 100mg pessaries (Janssen-Cilag Ltd),Miconazole nitrate,100mg,Pessary,Vaginal,00000000,Unknown,February 2009,1
38634,2886111000001104,95575020,209916,Adizem-XL 300mg capsules (Napp Pharmaceuticals Ltd),Diltiazem hydrochloride,300mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
85419,29920711000001108,52699021,0,Ciprofibrate 100mg tablets (Advanz Pharma),Ciprofibrate,100mg,Tablet,Oral,02120300,Fibrates,January 2022,1
47222,13924111000001102,75703020,103,Verapamil 120mg modified-release tablets (A A H Pharmaceuticals Ltd),Verapamil hydrochloride,120mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,May 2012,1
36544,216225001000027100,81330020,25,Arpimycin 125mg/5ml Oral suspension (Rosemont Pharmaceuticals Ltd),Erythromycin ethyl succinate,25mg/1ml,Oral suspension,Oral,05010500,Macrolides,February 2009,1
65106,28381411000001108,43095021,0,Itraconazole 50mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd),Itraconazole,10mg/1ml,Oral solution,Oral,05020100,Triazole Antifungals,January 2016,1
88111,36847211000001104,85561021,0,Clarithromycin 500mg tablets (Torrent Pharma (UK) Ltd),Clarithromycin,500mg,Tablet,Oral,05010500,Macrolides,May 2023,1
6497,25895001000027108,51247020,928,Clarithromycin 500mg with metronidazole 400mg with lansoprazole 30mg triple pack,Clarithromycin/Lansoprazole/Metronidazole,500mg + 400mg + 30mg,Triple Pack,,01030500/05010500,Proton Pump Inhibitors/Macrolides,February 2009,1
4928,2952311000001100,86195020,35730,Lipantil Micro 200 capsules (Viatris UK Healthcare Ltd),Fenofibrate micronised,200mg,Capsule,Oral,02120300,Fibrates,February 2009,1
31514,10060911000001108,55309020,19,Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free (Abbott Laboratories Ltd),Erythromycin ethyl succinate,100mg/1ml,Oral suspension,Oral,05010500,Macrolides,February 2009,1
53086,19715011000001104,38554020,0,Clarithromycin 250mg tablets (DE Pharmaceuticals),Clarithromycin,250mg,Tablet,Oral,05010500,Macrolides,January 2013,1
77442,10467211000001108,01908020,832,Tildiem 60mg modified-release tablets (Dowelhurst Ltd),Diltiazem hydrochloride,60mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,August 2019,1
33471,797711000001100,56374020,53,Verapamil 40mg tablets (Accord-UK Ltd),Verapamil hydrochloride,40mg,Tablet,Oral,02060200,Calcium-Channel Blockers,February 2009,1
79303,5300211000001105,05916020,2,Klaricid Paediatric 250mg/5ml oral suspension (Dowelhurst Ltd),Clarithromycin,50mg/1ml,Oral suspension,Oral,05010500,Macrolides,December 2019,1
48798,17856811000001102,07455020,595,Ciclosporin 50mg capsules (Phoenix Healthcare Distribution Ltd),Ciclosporin,50mg,Capsule,Oral,08020200/10010302/13050300,Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis,January 2013,1
83490,10139111000001104,72647020,0,Warfarin 3mg tablets (Zentiva Pharma UK Ltd),Warfarin sodium,3mg,Tablet,Oral,02080200,Oral Anticoagulants,April 2021,1
23017,10315001000027104,49295020,410,Erycen 500mg Tablet (Berk Pharmaceuticals Ltd),Erythromycin,500mg,Tablet,Oral,05010500/13060201,Macrolides/Oral Antibacterials For Acne,February 2009,1
57859,21865011000001108,47164020,169,Diltiazem 90mg modified-release tablets (Cubic Pharmaceuticals Ltd),Diltiazem hydrochloride,90mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,December 2013,1
34469,740711000001105,49436020,98,Colchicine 500microgram tablets (Wockhardt UK Ltd),Colchicine,500microgram,Tablet,Oral,10010450,Acute Attacks Of Gout,February 2009,1
66973,32472211000001104,67744021,9297,Ticagrelor 60mg tablets,Ticagrelor,60mg,Tablet,Oral,02090000,Antiplatelet Products,August 2016,1
31209,754111000001102,48473020,384,Amiodarone 100mg tablets (A A H Pharmaceuticals Ltd),Amiodarone hydrochloride,100mg,Tablet,Oral,02030201,Supraventricular & Ventricular Arrhythmias,February 2009,1
32898,177211000001105,56174020,307,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free (A A H Pharmaceuticals Ltd),Erythromycin ethyl succinate,50mg/1ml,Oral suspension,Oral,05010500,Macrolides,February 2009,1
58519,22735311000001104,17195021,0,Warfarin 1mg tablets (DE Pharmaceuticals),Warfarin sodium,1mg,Tablet,Oral,02080200,Oral Anticoagulants,January 2014,1
63343,4933311000001104,14664020,0,Generic Crampex tablets,Colecalciferol/Calcium gluconate/Nicotinic acid,20microgram + 200mg + 20mg,Tablet,Oral,10020202,Other Muscle Relaxants,June 2015,1
83342,28989311000001108,47993021,0,Warfarin 5mg tablets (Crescent Pharma Ltd),Warfarin sodium,5mg,Tablet,Oral,02080200,Oral Anticoagulants,March 2021,1
68531,13015411000001108,33673020,1,Verapamil 40mg/5ml oral suspension,Verapamil hydrochloride,8mg/1ml,Oral suspension,Oral,02060200,Calcium-Channel Blockers,January 2017,1
30980,237511000001108,63383020,1,Erythromycin ethyl succinate 500mg/5ml oral suspension (Kent Pharma (UK) Ltd),Erythromycin ethyl succinate,100mg/1ml,Oral suspension,Oral,05010500,Macrolides,February 2009,1
88137,40266811000001104,01838022,1,Aubagio 7mg tablets (Sanofi),Teriflunomide,7mg,Tablet,Oral,08020400,Other Immunomodulating Drugs,May 2023,1
15978,711911000001105,82851020,963,Sporanox 50mg/5ml oral solution (Janssen-Cilag Ltd),Itraconazole,10mg/1ml,Oral solution,Oral,05020100,Triazole Antifungals,February 2009,1
49001,10055311000001108,11003020,1050,Diltiazem 120mg modified-release tablets (Alliance Healthcare (Distribution) Ltd),Diltiazem hydrochloride,120mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,January 2013,1
27136,10065211000001108,60317020,1431,Diltiazem 90mg modified-release tablets (A A H Pharmaceuticals Ltd),Diltiazem hydrochloride,90mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,February 2009,1
8759,68645001000027110,56680020,9865,Verapamil hcl 120mg modified release tablets,Verapamil Hydrochloride,120mg,Modified Release Tablet,Oral,02030202/02060200,Supraventricular Arrhythmias/Calcium-Channel Blockers,February 2009,1
34515,21611000001108,60186020,175,Amiodarone 200mg tablets (Viatris UK Healthcare Ltd),Amiodarone hydrochloride,200mg,Tablet,Oral,02030201,Supraventricular & Ventricular Arrhythmias,February 2009,1
59400,15202611000001100,02311020,1,Warfarin 500microgram tablets (Sigma Pharmaceuticals Plc),Warfarin sodium,500microgram,Tablet,Oral,02080200,Oral Anticoagulants,April 2014,1
29154,70515001000027104,56967020,3271,Erythromycin 250mg Capsule (Actavis UK Ltd),Erythromycin Lactobionate,250mg,Capsule,Oral,05010500/13060201,Macrolides/Oral Antibacterials For Acne,February 2009,1
67793,9752611000001106,71911020,0,Amiodarone 100mg tablets (Milpharm Ltd),Amiodarone hydrochloride,100mg,Tablet,Oral,02030201,Supraventricular & Ventricular Arrhythmias,October 2016,1
6510,219711000001103,68477020,80662,Univer 120mg modified-release capsules (Teva UK Ltd),Verapamil hydrochloride,120mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
15290,235505001000027100,86834020,603,Lansoprazole with amoxicillin and clarithromycin 30mg + 500mg + 500mg Triple pack,Amoxicillin Trihydrate/Clarithromycin/Lansoprazole,30mg + 500mg + 500mg,Triple Pack,,01030500/05010103,Proton Pump Inhibitors/Broad-Spectrum Penicillins,February 2009,1
63798,16550911000001108,07445020,0,Ciclosporin 100mg capsules (A A H Pharmaceuticals Ltd),Ciclosporin,100mg,Capsule,Oral,08020200/10010302/13050300,Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis,July 2015,1
82561,10507311000001106,02470020,48,Supralip 160mg tablets (Waymade Healthcare Plc),Fenofibrate micronised,160mg,Tablet,Oral,02120300,Fibrates,January 2021,1
31530,7211000001107,69983020,5,Erythromycin 250mg gastro-resistant tablets (Ranbaxy (UK) Ltd),Erythromycin,250mg,Gastro-resistant tablet,Oral,05010500/13060201,Macrolides/Oral Antibacterials For Acne,February 2009,1
47471,19377311000001100,00114021,524,Capsorin 25mg capsules (Morningside Healthcare Ltd),Ciclosporin,25mg,Capsule,Oral,08020200/10010302/13050300,Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis,July 2012,1
32870,673611000001103,60682020,60,Diltiazem 60mg modified-release tablets (Sterwin Medicines),Diltiazem hydrochloride,60mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,February 2009,1
12330,153755001000027100,68308020,237,Erythromycin ethylsuccinate 1g sachets,Erythromycin Ethyl Succinate,1g,Sachets,Oral,05010500,Macrolides,February 2009,1
52952,18281911000001104,05835020,0,Erythromycin 250mg gastro-resistant tablets (Strides Pharma UK Ltd),Erythromycin,250mg,Gastro-resistant tablet,Oral,05010500/13060201,Macrolides/Oral Antibacterials For Acne,January 2013,1
66704,28688011000001104,44869021,19,Viekirax 12.5mg/75mg/50mg tablets (AbbVie Ltd),Ritonavir/Paritaprevir/Ombitasvir,50mg + 75mg + 12.5mg,Tablet,Oral,05030302,Chronic Hepatitis C,July 2016,1
31221,51311000001102,61400020,81,Bezafibrate 200mg tablets (Viatris UK Healthcare Ltd),Bezafibrate,200mg,Tablet,Oral,02120300,Fibrates,February 2009,1
19330,14725001000027106,49906020,1609,Ilosone 250mg/5ml Liquid (Dista Products Ltd),Erythromycin Lactobionate,250mg/5ml,Liquid,Oral,05010500/13060201,Macrolides/Oral Antibacterials For Acne,February 2009,1
38044,8798711000001106,94825020,180,Warfarin 5mg/5ml oral solution,Warfarin sodium,1mg/1ml,Oral solution,Oral,02080200,Oral Anticoagulants,February 2009,1
32902,79111000001102,63380020,1,Erythromycin ethyl succinate 250mg/5ml oral suspension (Kent Pharma (UK) Ltd),Erythromycin ethyl succinate,50mg/1ml,Oral suspension,Oral,05010500,Macrolides,February 2009,1
65496,17876511000001102,02312020,0,Warfarin 500microgram tablets (Phoenix Healthcare Distribution Ltd),Warfarin sodium,500microgram,Tablet,Oral,02080200,Oral Anticoagulants,February 2016,1
33304,4227311000001109,77508020,53,Kerymax 250mg gastro-resistant capsules (Kent Pharma (UK) Ltd),Erythromycin,250mg,Gastro-resistant capsule,Oral,05010500/13060201,Macrolides/Oral Antibacterials For Acne,February 2009,1
62207,23928711000001108,21725021,0,Adizem-SR 120mg capsules (Waymade Healthcare Plc),Diltiazem hydrochloride,120mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,January 2015,1
61561,21975211000001104,47446020,0,Erythromycin ethyl succinate 250mg/5ml oral suspension (Waymade Healthcare Plc),Erythromycin ethyl succinate,50mg/1ml,Oral suspension,Oral,05010500,Macrolides,November 2014,1
2837,41760111000001104,69118020,54483,Ciclosporin 50mg capsules,Ciclosporin,50mg,Capsule,Oral,08020200/10010302/13050300,Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis,February 2009,1
20842,218165001000027100,81937020,12,Phyllosan Tablet (SSL International Plc),Thiamine Nitrate/Ferrous Fumarate/Ascorbic Acid/Riboflavin/Nicotinic Acid,,Tablet,Oral,09010101/09060700,Oral Iron/Multivitamin And Multimineral Preparations,February 2009,1
3057,140411000001109,58377020,14257,Securon 120mg tablets (Abbott Laboratories Ltd),Verapamil hydrochloride,120mg,Tablet,Oral,02060200,Calcium-Channel Blockers,February 2009,1
41693,485611000001106,60641020,1,Verapamil 120mg tablets (Viatris UK Healthcare Ltd),Verapamil hydrochloride,120mg,Tablet,Oral,02060200,Calcium-Channel Blockers,March 2010,1
55133,10139811000001104,05863020,0,Erythromycin 250mg gastro-resistant capsules (Kent Pharma (UK) Ltd),Erythromycin,250mg,Gastro-resistant capsule,Oral,05010500/13060201,Macrolides/Oral Antibacterials For Acne,May 2013,1
34974,8819111000001101,69363020,38,Clarithromycin 500mg tablets (Teva UK Ltd),Clarithromycin,500mg,Tablet,Oral,05010500,Macrolides,February 2009,1
36370,10053611000001102,90391020,8,Noxafil 40mg/ml oral suspension (Merck Sharp & Dohme (UK) Ltd),Posaconazole,40mg/1ml,Oral suspension,Oral,05020100,Triazole Antifungals,February 2009,1
4971,41790511000001104,76409020,131909,Leflunomide 10mg tablets,Leflunomide,10mg,Tablet,Oral,10010302,Drugs Affecting The Immune Response In Rheumatic Disease,February 2009,1
47102,17665611000001108,99162020,672,Capimune 50mg capsules (Viatris UK Healthcare Ltd),Ciclosporin,50mg,Capsule,Oral,08020200/10010302/13050300,Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis,May 2012,1
57489,16034411000001108,76919020,0,Ciprofibrate 100mg tablets (Zentiva Pharma UK Ltd),Ciprofibrate,100mg,Tablet,Oral,02120300,Fibrates,October 2013,1
46693,17173311000001106,98465020,13,Norvir 100mg tablets (AbbVie Ltd),Ritonavir,100mg,Tablet,Oral,05030151,Protease Inhibitors,January 2012,1
29676,214485001000027100,80745020,18,Calazem 60mg Modified-release tablet (Berk Pharmaceuticals Ltd),Diltiazem hydrochloride,60mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,February 2009,1
85909,13720811000001104,02442020,0,Fenofibrate micronised 200mg capsules (Ranbaxy (UK) Ltd),Fenofibrate micronised,200mg,Capsule,Oral,02120300,Fibrates,April 2022,1
41013,13641611000001108,95075020,3,Reyataz 300mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd),Atazanavir sulfate,300mg,Capsule,Oral,05030151,Protease Inhibitors,December 2009,1
21623,178955001000027100,72130020,26,Femeron 1.2g Pessary (Johnson+Johnson MSD Consumer Pharmaceuticals),Miconazole Nitrate,1.2g,Pessary,Vaginal,07020200,Vaginal And Vulval Infections,February 2009,1
41396,9157011000001106,63947020,82,Fenofibrate micronised 200mg capsules (A A H Pharmaceuticals Ltd),Fenofibrate micronised,200mg,Capsule,Oral,02120300,Fibrates,March 2010,1
45308,9208311000001104,71935020,276,Verapamil 240mg modified-release tablets (Viatris UK Healthcare Ltd),Verapamil hydrochloride,240mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,May 2011,1
5904,542711000001108,64560020,234,Diflucan 200mg/5ml oral suspension (Pfizer Ltd),Fluconazole,40mg/1ml,Oral suspension,Oral,05020100,Triazole Antifungals,February 2009,1
972,660811000001100,74677020,131393,Neoral 25mg capsules (Novartis Pharmaceuticals UK Ltd),Ciclosporin,25mg,Capsule,Oral,08020200/10010302/13050300,Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis,February 2009,1
16067,207795001000027100,78391020,11050,Sanatogen gold A to Z Tablet (Roche Consumer Health),Biotin/Sodium Molybdate/Ascorbic Acid/Borax/Silica/Vitamin A Acetate/Calcium Pantothenate/Folic Acid/Ferrous Fumarate/Magnesium Oxide/Nicotinic Acid/Potassium Chloride/Potassium Iodide/Pyridoxine Hydrochloride/Riboflavin/Alpha Tocopherol/Vitami,,Tablet,Oral,09060750,-,February 2009,1
77032,33676211000001100,71446021,3,Colchicine 500microgram tablets (Teva UK Ltd),Colchicine,500microgram,Tablet,Oral,10010450,Acute Attacks Of Gout,July 2019,1
9491,319990006,86190020,62355,Fenofibrate micronised 67mg capsules,Fenofibrate micronised,67mg,Capsule,Oral,02120300,Fibrates,February 2009,1
26270,203585001000027100,77217020,456,Optil xl 300mg Modified-release capsule (Opus Pharmaceuticals Ltd),Diltiazem hydrochloride,300mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
8706,457811000001109,56989020,41438,Modalim 100mg tablets (Sanofi),Ciprofibrate,100mg,Tablet,Oral,02120300,Fibrates,February 2009,1
83675,39296211000001104,97060021,31,Epclusa 200mg/50mg tablets (Gilead Sciences Ltd),Velpatasvir/Sofosbuvir,50mg + 200mg,Tablet,Oral,05030302,Chronic Hepatitis C,April 2021,1
553,89775001000027100,59403020,310823,Erythromycin 250mg.5ml oral suspension,Erythromycin Ethyl Succinate,250mg/5ml,Suspension,Oral,05010500,Macrolides,February 2009,1
79093,20942411000001104,42212020,1,Fluconazole 50mg/5ml oral suspension (Accord-UK Ltd),Fluconazole,10mg/1ml,Oral suspension,Oral,05020100,Triazole Antifungals,December 2019,1
10903,36036011000001104,71160020,11931,Miconazole 1.2g vaginal capsules,Miconazole nitrate,1.2gram,Capsule,Vaginal,00000000,Unknown,February 2009,1
68943,29789111000001104,52268021,0,Clarithromycin 500mg tablets (Sigma Pharmaceuticals Plc),Clarithromycin,500mg,Tablet,Oral,05010500,Macrolides,March 2017,1
765,41946211000001104,76384020,9001,Clarithromycin 250mg granules sachets,Clarithromycin,250mg,Granules,Oral,05010500,Macrolides,February 2009,1
83218,37223211000001104,87669021,1,Dasatinib 10mg/ml oral suspension,Dasatinib monohydrate,10mg/1ml,Oral suspension,Oral,08010551,Protein Kinase Inhibitors,March 2021,1
75595,12605001000027104,49623020,1,Erythromycin 250mg/5ml Liquid (Berk Pharmaceuticals Ltd),Erythromycin ethyl succinate,50mg/1ml,Oral suspension,Oral,05010500,Macrolides,April 2019,1
74213,18757211000001108,78008020,0,Leflunomide 20mg tablets (A A H Pharmaceuticals Ltd),Leflunomide,20mg,Tablet,Oral,10010302,Drugs Affecting The Immune Response In Rheumatic Disease,January 2019,1
47935,204355001000027100,77455020,0,Fenofibrate 200mg Capsule (Teva UK Ltd),Fenofibrate micronised,200mg,Capsule,Oral,02120300,Fibrates,October 2012,1
35729,279811000001100,54551020,333,Verapamil 80mg tablets (Teva UK Ltd),Verapamil hydrochloride,80mg,Tablet,Oral,02060200,Calcium-Channel Blockers,February 2009,1
34320,4114911000001109,65569020,39,Fluconazole 150mg capsules (Actavis UK Ltd),Fluconazole,150mg,Capsule,Oral,05020100,Triazole Antifungals,February 2009,1
66590,26421311000001104,29715021,4,Itraconazole 50mg/5ml oral solution sugar free (Kent Pharma (UK) Ltd),Itraconazole,10mg/1ml,Oral solution,Oral,05020100,Triazole Antifungals,June 2016,1
61436,24580911000001108,26708021,552,Posaconazole 100mg gastro-resistant tablets,Posaconazole,100mg,Gastro-resistant tablet,Oral,05020100,Triazole Antifungals,October 2014,1
62720,21536711000001104,46676020,1,Prezista 100mg/ml oral suspension (Janssen-Cilag Ltd),Darunavir ethanolate,100mg/1ml,Oral suspension,Oral,05030151,Protease Inhibitors,April 2015,1
